# Decision Log
# Format: Date | Topic | Options considered | Chosen | Why
# Append-only. One entry per significant decision. Monthly audit reviews.
# --------------------------------------------------------------------------

2026-04-06 | Agent names to config | (A) Hardcode names in 8+ places vs (B) Env vars for names and keywords, all code references constants | (B) Env vars | User plans to rename agents and swap models. Hardcoded names across system prompts, regexes, mode detection, response strings, and soul.md would require 8+ coordinated edits per rename. Now: ADMIN_AGENT_NAME, RESEARCH_AGENT_NAME, *_SWITCH_KEYWORDS as env vars. soul.md uses "admin agent"/"research agent". One config change, zero code changes.

2026-04-06 | Single agent simplification | (A) Keep dual-agent with fixes (conversation filtering, one-shot escalation, switch_mode tool) vs (B) Single agent, one model, one conversation | (B) Single agent | Dual-agent caused: identity confusion (conversation soup — each agent saw other's responses as its own), mode switching failures (regex couldn't handle typos/intent, model couldn't execute switches), silent mode traps (auto-escalation permanently changed mode), write hallucinations (mixed tool call history). Every fix added complexity that caused new bugs. User diagnosed root cause: "the models work fine in a chat window" — the architecture was the problem, not the models. Removed 426 lines. One model (Grok 4.20), one conversation, one identity. Future multi-agent will use router pattern (user talks to one agent, specialists work behind the scenes via tools) not user-facing mode switching.

2026-04-07 | Instruction consolidation | (A) Keep 4 instruction sources (soul.md, procedures.md, memory.md, tool descriptions) vs (B) Consolidate to 2 (soul.md for behavior, tool descriptions for mechanics) | (B) Consolidate | Instructions scattered across 4 files drifted apart — soul.md said "log immediately" while tool description said "wait for confirm." Bot followed whichever was closest to the decision point. Two sources of truth: soul.md (how to think + operate) and bot.py tool descriptions (mechanics only). memory.md now only stores user decisions, not operational rules.

2026-04-07 | Model downgrade to grok-4-1-fast-reasoning | (A) Stay on Grok 4.20 ($2/$6) vs (B) Drop to grok-4-1-fast-reasoning ($0.20/$0.50) | (B) grok-4-1-fast-reasoning | Today's issues were model laziness (not verifying output, inconsistent calorie math, date confusion), not capability — the model corrected itself when pushed. Three structural improvements make the cheaper model viable: soul.md now has reasoning principles (not just rules), conversation reload includes tool history (model can verify its own past work), API failures handled in code. 10x cost reduction. Reversible via one env var change.

2026-04-07 | Sheet append mode | (A) INSERT_ROWS (inserts new rows) vs (B) OVERWRITE (appends after last data row) | (B) OVERWRITE | INSERT_ROWS combined with blank rows in the Training Log caused data to land 5+ columns to the right. Every April 7 workout was misaligned. OVERWRITE handles blank rows correctly. Also tightened _verify_sheet_write to check column position, not just string presence — old verify returned [VERIFIED] for misaligned data.

2026-04-07 | Workout approval step | (A) Keep parse-confirm-log flow vs (B) Log immediately, show summary, user corrects if wrong | (B) Immediate logging | Confirmation step added friction and got missed — user had to say "not logged yet?" after providing data. Straightforward input (e.g. "50lb 3x3 incline") doesn't need a confirmation round-trip. Read-after-write [VERIFIED] catches mechanical failures. User corrections handle parse errors.

2026-04-08 | Soul change governance | (A) Bot tells user to have Claude Code edit soul.md (current — directives get lost) vs (B) Bot proposes changes to JSONL, AI reviews, user approves via Telegram vs (C) Bot directly edits soul.md | (B) Proposal pipeline with AI review | Direct edits (C) risk breaking rules — model writing its own system prompt can drift or remove constraints. "Tell the user" (A) loses directives — user forgets, context lost between sessions. Pipeline (B) captures immediately via propose_soul_change tool, AI reviewer (8pm ET cron) checks for conflicts/redundancy, user gets final APPROVE/REJECT in Telegram. Append-only JSONL is auditable. Three-tier audit (daily/weekly/monthly) verifies routing correctness and catches drift. Morning brief reminds user of pending proposals.

2026-04-08 | Sleep score field | (A) Keep efficiency (what we had) vs (B) Use main.score with efficiency fallback vs (C) Call separate Sleep Score API endpoint | (B) main.score with fallback | Fitbit 1.2 API returns both efficiency and score on the main sleep object. Efficiency (93) != Sleep Score (76) — user saw the discrepancy. Score field may not exist on older devices, so fallback to efficiency. No extra API call needed.

2026-04-08 | Write hallucination regex | (A) Keep broad patterns (more false positives, fewer misses) vs (B) Tighten to present/future tense only (fewer false positives, small miss risk) vs (C) Add tool history check (complex, no false positives) | (B) Tighten patterns | False positives confuse the user ("I don't understand your warning"). Past-tense write references ("PR logged") after a verified write are safe to ignore. Option C adds complexity for diminishing returns — if the tightened regex still has issues, revisit.

2026-04-08 | Soul.md radical trim | (A) Radical trim to ~40 lines (B) Moderate trim to ~60 lines (C) Keep constraints + upgrade model | (A) Radical trim | Model hallucinated basic tasks, over-abbreviated, took 3 tries for simple routine query. Same model works well in Grok app with minimal prompt. Constraints consumed cognitive budget. All monitoring (failure notice, write hallucination, QA checks, audit) lives in bot.py code — unaffected by soul.md changes. One routing line kept for propose_soul_change. If model drifts without formatting rules, add back ONE rule at a time. Reversible — old soul.md in git history.

2026-04-08 | Model swap to GPT-4.1-mini | (A) Stay on grok-4-1-fast-reasoning ($0.20/$0.50) (B) GPT-4.1-mini ($0.40/$1.60) (C) Claude Haiku 4.5 ($0.80/$4.00) (D) Back to Grok 4.20 ($2/$6) | (B) GPT-4.1-mini | Grok fast model spoke in fragments even after soul.md trim — that's the model's natural style, not prompt-fixable. GPT-4.1-mini is 2x input/3x output cost but speaks naturally and has reliable tool calling. User confirmed improvement on first test. Haiku was 4x more, Grok 4.20 was 10x more. If 4.1-mini has issues, try Haiku next. XAI key preserved in env for fallback.

2026-04-09 | Sheet write strategy | (A) Keep OVERWRITE append (fix blank rows before each write) vs (B) Targeted update (read last row, write to row N+1) vs (C) Calculate target row + update | (B) Targeted update | OVERWRITE append failed for the second time — same column drift bug from Apr 7 recurred because blank rows appeared between Apr 7 and Apr 8 data. All 6 of today's workout logs were misaligned right. append API behavior depends on sheet state (blank rows, merged cells) which we don't control. Targeted update writes to an exact cell range determined by reading column A — blank rows are irrelevant. Also changed verify failure to return hard "WRITE FAILED" (no "Logged" text) because model was claiming success despite verify failures.
2026-04-11 | Architecture audit pass | (A) Patch each persistent bug individually as it surfaces vs (B) Run a structural audit, fix root causes, leave known-correct symptoms alone vs (C) Full rebuild | (B) Audit + root-cause fix | User pushed back on patch-job feel of incremental fixes. Audit found persistent bugs split between architectural causes (cron-as-root, resolved.jsonl substring match, silent failures) and model-behavior causes (BF% mislabeling, said-vs-did — both model ignoring soul.md rules). Architectural fixes done in this pass; model-behavior bugs flagged for separate cost/correctness decision. Avoided full rebuild — architecture is coherent, just had ~10 small accumulations.
2026-04-11 | Cron user | (A) Keep cron as root + add chown hook on every write vs (B) Migrate cron to openclaw user vs (C) Keep current root cron and let qa-check Check 21 catch drift | (B) Migrate cron to openclaw | Verified openclaw can read /opt/openclaw.env, run gog with keyring, and execute all 4 cron scripts. Hook (A) is a patch — drift keeps recurring whenever I miss a file. Check 21 alone (C) detects but doesn't prevent. Migration eliminates the entire ownership-drift class at the source. Aligns with self-sufficiency principle: remove blockers, don't monitor symptoms.
2026-04-11 | Model decision (DEFERRED) | (A) Stay on GPT-4.1-mini, accept Category 2 hallucinations (BF% mislabel, said_not_did) vs (B) Revert to stronger model (Grok or Claude Sonnet) at higher cost | DEFERRED — user to decide | Persistent bf_wrong_source and said_not_did flags spiked starting 2026-04-08 model swap. Rule is in soul.md, model ignores it. No code-side fix can prevent this — only model can. Cost-correctness tradeoff that requires user judgment, not engineering judgment.
2026-04-11 | Doc lean sweep | (A) Patch each bloated md file in place vs (B) Rewrite daily-audit-template.md, archive arch.md history, move routine to single source vs (C) Leave as-is | (B) Aggressive consolidation | User wanted lean. Audit template was 252 LOC of mostly duplication with qa-check.sh; rewrote to 61 LOC keeping only manual-only sections (intent vs action, over-restriction sweep, audit-the-audit). Routine/goals duplicated in soul.md AND memory.md (with swap overrides) — moved canonical version into memory.md; soul.md = pure behavioral rules, memory.md = pure facts about user. arch.md History section was growing forever (~70 LOC of tactical fixes) — kept ~12 landmark architectural decisions inline, archived rest to history-archive.md. Deleted audit-state.json (3 timestamps nothing reads after template rewrite).
2026-04-11 | Model swap (RESOLVED) | Followup to the DEFERRED entry above. (A) Stay on GPT-4.1-mini vs (B) Revert one step to grok-4-1-fast vs (C) Jump to Claude Sonnet | (B) grok-4-1-fast | Smallest possible reversal. Grok 4.1 fast was in production 04-05 to 04-08 with zero bf_wrong_source or said_not_did hits. Reverting one step is cheaper to test than jumping all the way. If it still misbehaves, escalate to Sonnet. Per integrity > efficiency principle — cost optimization that costs correctness about body data isn't actually saving anything. Env change only: AI_MODEL=grok-4-1-fast, AI_BASE_URL=https://api.x.ai/v1, AI_API_KEY commented out so the bot.py fallback uses XAI_API_KEY. Bot restarted, confirmed running on grok-4-1-fast.
2026-04-11 | GitHub auth for openclaw | (A) HTTPS personal access token in credential store vs (B) SSH ed25519 deploy key vs (C) Skip — let push fail loudly forever | (B) SSH deploy key | After cron migration, openclaw user had no GitHub credentials so auto-commit pushes were failing. Deploy key (B) is scoped to one repo (least privilege), key never leaves the box, no credential rotation needed unlike PATs. Git remote switched from HTTPS to SSH. Public key generated, user adds to GitHub Settings → Deploy keys with write access. Pushes resume on next hourly cron tick.
2026-04-11 | OpenClaw cruft cleanup | (A) Surgical: delete verifiably-dead OpenClaw pieces, leave gog/auth/env in .openclaw vs (B) Surgical + relocate gog out of .openclaw vs (C) Full rename openclaw → lifeos everywhere | (A) Surgical | Audit revealed ~1.5 GB of OpenClaw cruft still on the box outside the lifeos repo: /usr/lib/node_modules/openclaw (1.4 GB npm package with 13 extensions), /etc/systemd/system/openclaw.service (disabled+inactive orphan), /etc/config/openclaw.json (Docker sandbox config), 6 /opt/openclaw-*.sh wrapper scripts (all referenced the dead service or npm binary). Deleted all of the above; freed 1.3 GB. KEPT: /opt/openclaw.env (env file used by all cron jobs and bot service — naming is historical, function is current), /home/openclaw/.openclaw/workspace/homebrew/ (contains gog binary that /usr/local/bin/gog symlinks to), /home/openclaw/.openclaw/workspace/.config/gogcli/ (Google auth keyring). Verified post-delete: bot active, gog reads sheets, qa-check runs clean, systemd no longer knows about openclaw.service. Option B (relocate gog) deferred — gog auth keyring path is fragile and the .openclaw dir is now invisible to day-to-day work. Option C (full rename) skipped — purely cosmetic, high coordination cost across user account, sudoers, systemd, cron, scripts, GitHub remote.
2026-04-11 | gog OAuth2 token revoked + audit gap | (A) Just reauth and move on vs (B) Reauth + add hourly heartbeat to close the 24h blind window vs (C) Switch to Google service account auth (no expiring tokens) | (B) Reauth + hourly heartbeat | qa-check.sh Check 16 caught gog auth failure but only runs once daily at 8:30am ET. Token revoked at ~10:30am, would have been blind for 22h. (B) added auth-heartbeat.sh with state-file transition detection — alerts on first failure, alerts on recovery, silent in steady state. Cost: 1 gog call per hour (negligible). Option (C) deferred — service accounts require Google Workspace org or app verification, more setup than the user wants today, and OAuth2 user auth is the documented path. Reauth itself was done via curl-the-failed-callback-URL trick because gog has no OOB / device flow — procedure now in audit-playbook.md so future reauth is mechanical, not detective work.
2026-04-11 | OAuth2 7-day expiration root cause + fix | (A) Live with 7-day reauth + heartbeat monitoring vs (B) Submit OAuth app for Google verification (long, uncertain) vs (C) Rewrite bot sheet ops to use Python google-api-python-client + service account (~1h work, permanent fix) vs (D) Apps Script proxy | (A) Live with reauth + monitor | Real cause: Google enforces 7-day refresh token expiration on apps requesting sensitive/restricted scopes (drive, spreadsheets) without passing app verification — applies even when consent screen is "In production". NOT caused by our audit (verified — token age = exactly 7 days, gog config files untouched). Heartbeat (auth-heartbeat.sh) already catches breakage in <1h. Reauth procedure documented in audit-playbook.md, ~5 min total. Per "monitor heavily, intervene rarely" principle. (C) is the documented escape hatch when 5-min/week becomes annoying. (B) impractical for personal apps. Initial misdiagnosis: thought it was "Testing publishing status" rule — wrong; user's screen showed In production already. Actual rule is unverified-sensitive-scopes regardless of publishing status. Memory entry saved (reference_oauth2_7day_rule.md) to prevent re-misdiagnosis.
2026-04-11 | gog dual config-path drift | (A) Diagnose why bot's gog reads from .openclaw/.config/gogcli not ~/.config/gogcli vs (B) Symlink the .openclaw path to the canonical path so both routes work vs (C) Rewrite bot.py _run_gog to force XDG_CONFIG_HOME | (B) Symlink | After OAuth2 reauth, gog CLI worked but bot's gog calls kept failing with invalid_grant. Two gogcli config dirs exist: /home/openclaw/.config/gogcli/ (canonical, gog auth credentials list shows this) and /home/openclaw/.openclaw/workspace/.config/gogcli/ (historical, from OpenClaw setup). Reauth wrote new token to canonical path; bot was reading old revoked token from .openclaw path (probably because gog binary lives inside .openclaw/workspace/homebrew/ and resolves config relative to install). Symlinking .openclaw/.../gogcli/{keyring,credentials.json} to canonical paths is the smallest fix — both routes now reach the same fresh keyring. Old stale files moved to .revoked-2026-04-11.bak. Verified: bot got 6/6 tool calls succeed on next test query. Option (C) deferred — works for now without code changes.

2026-04-11 | API key rotation (Anthropic + xAI leaked in env dump) | (A) User pastes new keys to me to update env vs (B) User edits /opt/openclaw.env themselves with no key visibility to me vs (C) read -s prompt one-liner I write that takes input invisibly | (B) User edits themselves | I leaked both ANTHROPIC_API_KEY and XAI_API_KEY when dumping bot env via /proc/PID/environ — sanitizer regex matched on value content ("KEY") instead of variable names. User had to rotate both at consoles. To get new keys into /opt/openclaw.env without re-leaking, user edited the file directly (took several attempts due to nano save dialog confusion + a stale vim swap file). Memory entry feedback_secret_redaction.md saved so I never sanitize by value pattern again — must always allowlist by variable name. Cost: ~30 min and a key rotation. Lesson: never grep -v "KEY" env values; redact variable names explicitly.

2026-04-11 | said_failed_not_tried (model context bias) | (A) Add qa-check Check 25 mirroring Check 22, tell user to /clear after fixes vs (B) Strip failure messages from load_conversation_from_logs in bot.py vs (C) Auto-clear conversation on bot restart | (A) Check 25 + /clear convention | After fixing the gog issue, bot kept saying "sheets down" with zero tool calls because conversation history loaded from today's log was poisoned with prior failure messages. Model pattern-matched on the failure context and skipped retrying the read tool. Mirror of said_not_did but for failures instead of successes. Fix: user sends /clear, immediately retries — works (verified with 6/6 tool calls succeeded on the post-clear query, returned real DEXA + Body Metrics + Recovery + Nutrition data). Documented in audit-playbook.md trap section. Check 25 catches future occurrences. (B) is more invasive and risks losing useful failure context. (C) would lose all conversation continuity on every restart which has its own costs.
2026-04-11 | Fitbit sleep score | (A) Submit Fitbit Sleep Score from app to API (impossible — not in public Web API) vs (B) Be honest, rename existing column to Efficiency %, no score column vs (C) Both: rename existing + add NEW computed Sleep Score column | (C) Both | The 2026-04-08 "fix" that did main.get("score", efficiency) was a no-op — Fitbit's /1.2/user/-/sleep/date/.json endpoint does NOT return a score field at all (verified by inspecting live API response). The "Sleep Score" column has been efficiency the whole time (3 weeks of mislabeled data). User's principle integrity > efficiency means we can't keep pretending efficiency is sleep score. Renamed column B header from "Sleep Score" → "Efficiency %". Added new column J "Sleep Score (computed)" populated by a 0-100 proxy formula: 0.5*duration + 0.25*efficiency + 0.25*restoration where duration target is 8h and restoration target is 90min deep+REM. Validated against user's previously-reported app score of 76 on 4/08 — formula gives 79 (within 3 points). Backfilled 24 historical rows by parsing deep:Xm rem:Ym from Notes column. Also fixed pull_sleep to sum across all sleep sessions (was previously main session only — naps were being ignored). Sleep Hours column C now shows TOTAL daily sleep including naps. fitbit_sync.py gog_sheets_upsert function generalized to take end_col parameter (default I, Recovery uses J) so other tabs unaffected. Cleared pre-existing orphan row 35 that had 6-column drift corruption from old INSERT_ROWS bug. soul.md updated to document the new Recovery columns.

2026-04-11 | fitbit_sync.py version control | (A) Move fitbit_sync.py into lifeos repo vs (B) Keep at /home/openclaw/fitbit_sync.py and copy a snapshot to lifeos repo for reference vs (C) Leave outside repo, just commit doc references | (B) Snapshot in repo | fitbit_sync.py lives at /home/openclaw/fitbit_sync.py (outside the lifeos repo) for historical reasons — it predates the lifeos consolidation. Moving it requires touching cron paths, systemd, fitbit credentials path resolution. Snapshot copy in repo (vendored/fitbit_sync.py or similar) gives version control + diff history without disrupting the live file. The vendored copy is a SNAPSHOT — if it drifts from the live file, the audit playbook should catch it.
2026-04-11 | Time in Bed column + actual-asleep correction | (A) Add only column K Time in Bed, leave historical column C as-is (mixed raw/corrected) vs (B) Add column K AND retroactively correct historical column C to be actual-asleep (deep+light+rem from Notes), making both columns consistent across all rows | (B) Both column K + historical correction | User wanted to compare raw vs corrected sleep hours. Investigation revealed historical column C Sleep Hours was inconsistent — early rows used duration/3600000 fallback (raw time in bed) while later rows used minutesAsleep (corrected). Adding column K alone without fixing C would make the comparison meaningless for old rows where C and K would be identical. Recomputed C from deep+light+rem (excluding wake) for 22 historical rows. K is deep+light+rem+wake (total period). Now K - C = restless minutes consistently across all rows. Today row 41 already correct from new fitbit_sync.py code: C=5.3 K=5.6. Spot check 4/04 reveals 72 restless minutes — bad night. soul.md updated to document column K and restless-minutes interpretation. fitbit_sync.py vendored snapshot updated.
2026-04-11 | Re-pull historical sleep from Fitbit API | (A) Accept ±2 min drift on historical rows from Notes-parsing reconciliation vs (B) Re-pull each historical date directly from Fitbit /1.2/sleep/date API for exact minutesAsleep, timeInBed, efficiency, deep, rem | (B) Re-pull from API | User flagged early days as a bit off after the Notes-parsing backfill. Stage minutes in Notes are rounded individually so the deep+light+rem sum drifts ±2 min from minutesAsleep. Re-pulled 22 historical dates one-by-one from Fitbit API (well under 150/h rate limit), updated cols B C J K with exact values, recomputed score from API stages. Zero errors. Now both historical and live rows are exact from API source. Notes column unchanged. 3/31 row has C=2.9 with empty K because that row never had stages in Notes — left alone, likely a single bad sync from before stages were captured properly.

2026-04-13 | Nutrition data integrity — MFP sync lag, not code bug | (A) Add source priority so FITBIT can't overwrite TELEGRAM entries vs (B) Add "highest wins" merge logic vs (C) Re-pull yesterday's data in morning cron vs (D) Investigate root cause first | (D) Investigate root cause | Bot showed 602 cal for Apr 12 when actual was 3,542. Initial assumption was a code bug (upsert overwriting data). Investigated three layers of wrong assumptions before finding root cause: first thought it was source priority (FITBIT overwriting TELEGRAM) — wrong, all data is FITBIT. Then thought the Fitbit API was returning bad data — wrong, the API returns whatever MFP has synced at that moment. Actual cause: MFP hadn't synced to Fitbit by the 10 PM cron run. Re-pulling Apr 12 the next morning returned correct data. User chose to monitor MFP sync behavior before adding code fixes. Lesson: verify data integrity at the source before building code-level fixes. Every proposed fix (A/B/C) would have added complexity to solve a problem that wasn't in our code.

2026-04-13 | Delete range routing from deterministic layer (Musk's Algorithm) | (A) Add word-to-number mapping in regex ("few"→3, "couple"→2) to handle "past few days" vs (B) Keep regex, make failures fall through silently to LLM vs (C) Delete all range routes from router, let LLM handle natural language range queries entirely | (C) Delete range routes | "past few days" caused a hard error because the deterministic regex intercepted the message but couldn't parse "few" (not a digit). First attempted (A) — optimizing a thing that shouldn't exist (Musk Step 3 violation). Then attempted (B) — still keeping unnecessary code. User pushed back: the LLM already understands natural language, don't put deterministic code in front of it. Applied Musk's 5-step algorithm: Step 1 (who required range routing? nobody questioned it), Step 2 (delete it). Range intent names preserved in all_intent_names() so Haiku classifier can still route to them. Adopted Musk's Algorithm as a core build/audit principle: Question → Delete → Simplify → Accelerate → Automate, in that order. Updated daily-audit-template.md Section 2 and architecture.md design principle.

2026-04-11 | SQLite + deterministic router rebuild (LifeOS v2, Phase 0 start) | (A) Patch today's findings with Check 26 (date-arithmetic) + Check 27 (hallucinated-infra-fix) and call it done vs (B) Implement the deferred said_failed_not_tried Option B (strip failures from load_conversation_from_logs) and still call it done vs (C) Full rebuild: SQLite as source of truth, deterministic intent router, model narrowed to language/analysis/nudge prose + DEXA vision + ambiguous parsing only. Phased 4-step migration, sheets stay live through Phase 1, fully reversible until Phase 2 starts. | (C) Full rebuild, phased | Today had 4 distinct failures and all 4 were model-behavior rooted: 1 pure hallucination (17:42 "backend sheet token refreshed + tool queue cleared"), 1 overconfident judgment override (07:28 wrong-day calories), 1 avoidance/sycophancy (17:31 silent rename pivot because no rename_exercise tool exists), 1 context pattern-matching bias (10:56-11:36 said_failed_not_tried ×4). Decisions-log history since 2026-04-08 shows every "fix" since then has been a patch for model misbehavior: cost/correctness model swap 04-08→04-11, said_not_did Check 22, said_failed_not_tried Check 25, bf_wrong_source Check 8, all shrink blast radius but never eliminate the class. Root cause isn't "the model is bad" — it's that a probabilistic component was placed in charge of CRUD + date arithmetic + tool dispatch + retry logic + action recall. Every decision point where the model has freedom to be wrong IS a failure mode. Rebuild inverts the hierarchy: scripts handle all deterministic work (log_workout, log_weight, log_nutrition, log_cardio, query helpers, date resolution, retry dispatch, event log), the model only writes coaching prose around deterministic data, parses genuinely ambiguous input (DEXA PDF vision, "two slices of pizza" food estimation), and performs on-demand analysis. SQLite replaces Google Sheets as source of truth because: eliminates 7-day OAuth tax on the critical logging path, kills gog dependency + dual config drift + homebrew install + vendored snapshot dance, schema-enforced writes, ACID, file-copy backups, SQL queries instead of read-parse-filter. Sheets stays as a one-way read-only view (DB→sheet export) so user's real-time verification habit is preserved and the oauth surface moves off the critical path — "sheets down" goes from "system down" to "verify UI is stale briefly." Phased migration (0 schema+import, 1 read path on SQLite, 2 write path on SQLite, 3 cleanup + Sonnet model swap, 4 trim) keeps old system live through Phase 1, fully reversible until Phase 2. 9 sub-decisions answered and approved today: routine versioned table (not JSON), one-way sheet export (not fully cut), Sonnet swap at Phase 3 (not earlier — hold model constant during migration), .gitignore lifeos.db + commit daily .dump text file, keep LLM-vision for DEXA (narrow scope), Telegram edit intents + SSH escape hatch (no web UI day one), hourly snapshot backups with 48h/30d/12m retention ladder, start with exactly 3 proactive triggers (no speculative framework), gog keyring env-passthrough fix noted. Phase 0 deliverables: schema.sql (all 6 tabs + routine versioned + events audit substrate), import_from_sheets.py (one-shot, validates row counts, spot-checks), lifeos.db populated from live sheets, no live bot code touched. User explicitly green-lit full rebuild and all 9 sub-decisions.
